customer_id,first_purchase,last_purchase,total_orders,total_items,total_revenue,avg_line_revenue,unique_products,active_months,country,recency_days,customer_lifetime_days,orders_per_active_month,revenue_per_order,items_per_order
12346,2011-01-18 10:01:00,2011-01-18 10:01:00,1,74215,77183.6,77183.6,1,1,United Kingdom,326,1,1.0,77183.6,74215.0
12347,2010-12-07 14:57:00,2011-12-07 15:52:00,7,2458,4310.0,23.681318681318682,103,7,Iceland,2,366,1.0,615.7142857142857,351.14285714285717
12348,2010-12-16 19:09:00,2011-09-25 13:13:00,4,2341,1797.24,57.97548387096774,22,4,Finland,75,283,1.0,449.31,585.25
12349,2011-11-21 09:51:00,2011-11-21 09:51:00,1,631,1757.55,24.076027397260273,73,1,Italy,19,1,1.0,1757.55,631.0
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,1,197,334.4,19.670588235294115,17,1,Norway,310,1,1.0,334.4,197.0
12352,2011-02-16 12:33:00,2011-11-03 14:37:00,8,536,2506.04,29.482823529411764,59,4,Norway,36,261,2.0,313.255,67.0
12353,2011-05-19 17:47:00,2011-05-19 17:47:00,1,20,89.0,22.25,4,1,Bahrain,204,1,1.0,89.0,20.0
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,1,530,1079.4,18.610344827586207,58,1,Spain,232,1,1.0,1079.4,530.0
12355,2011-05-09 13:49:00,2011-05-09 13:49:00,1,240,459.4,35.33846153846154,13,1,Bahrain,214,1,1.0,459.4,240.0
12356,2011-01-18 09:50:00,2011-11-17 08:40:00,3,1591,2811.43,47.65135593220339,53,3,Portugal,23,303,1.0,937.1433333333333,530.3333333333334
12357,2011-11-06 16:07:00,2011-11-06 16:07:00,1,2708,6207.67,47.38679389312977,131,1,Switzerland,33,1,1.0,6207.67,2708.0
12358,2011-07-12 10:04:00,2011-12-08 10:26:00,2,248,1168.06,61.47684210526315,13,2,Austria,2,150,1.0,584.03,124.0
12359,2011-01-12 12:43:00,2011-10-13 12:47:00,4,1622,6372.58,25.695887096774193,214,4,Cyprus,58,275,1.0,1593.145,405.5
