antecedents,consequents,support,confidence,lift
WOODEN STAR CHRISTMAS SCANDINAVIAN,WOODEN HEART CHRISTMAS SCANDINAVIAN,0.020902919943971556,0.7578125000000001,26.145939823420075
WOODEN HEART CHRISTMAS SCANDINAVIAN,WOODEN STAR CHRISTMAS SCANDINAVIAN,0.020902919943971556,0.7211895910780669,26.145939823420075
PINK REGENCY TEACUP AND SAUCER,"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",0.029145566210537658,0.7071895424836601,17.11454014026297
"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",PINK REGENCY TEACUP AND SAUCER,0.029145566210537658,0.7053455019556715,17.11454014026297
"PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",GREEN REGENCY TEACUP AND SAUCER,0.029145566210537658,0.9046822742474917,16.57720866197625
GREEN REGENCY TEACUP AND SAUCER,"PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",0.029145566210537658,0.5340572556762093,16.57720866197625
PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.03404805516646913,0.8261437908496732,15.138085928678809
GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.03404805516646913,0.6238894373149062,15.138085928678809
"GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER",ROSES REGENCY TEACUP AND SAUCER,0.029145566210537658,0.8560126582278481,14.919537053544898
ROSES REGENCY TEACUP AND SAUCER,"GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER",0.029145566210537658,0.507981220657277,14.919537053544898
GARDENERS KNEELING PAD CUP OF TEA,GARDENERS KNEELING PAD KEEP CALM,0.029414933735588837,0.7203166226912928,14.644597097914325
GARDENERS KNEELING PAD KEEP CALM,GARDENERS KNEELING PAD CUP OF TEA,0.029414933735588837,0.5980284775465499,14.644597097914325
GREEN REGENCY TEACUP AND SAUCER,"REGENCY CAKESTAND 3 TIER, ROSES REGENCY TEACUP AND SAUCER",0.021980390044176273,0.4027640671273445,14.24020307431956
"REGENCY CAKESTAND 3 TIER, ROSES REGENCY TEACUP AND SAUCER",GREEN REGENCY TEACUP AND SAUCER,0.021980390044176273,0.777142857142857,14.240203074319558
"GREEN REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",ROSES REGENCY TEACUP AND SAUCER,0.021980390044176273,0.8015717092337917,13.970679874927363
ROSES REGENCY TEACUP AND SAUCER,"GREEN REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",0.021980390044176273,0.3830985915492957,13.970679874927361
ROSES REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.032216355996121104,0.5615023474178403,13.624322317346342
PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.032216355996121104,0.7816993464052286,13.62432231734634
ROSES REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.041320978342850985,0.72018779342723,13.19657040631416
GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.041320978342850985,0.7571569595261599,13.196570406314159
CHARLOTTE BAG PINK POLKADOT,STRAWBERRY CHARLOTTE BAG,0.020418058398879432,0.5107816711590297,13.131758144118988
STRAWBERRY CHARLOTTE BAG,CHARLOTTE BAG PINK POLKADOT,0.020418058398879432,0.5249307479224377,13.131758144118987
SPACEBOY LUNCH BOX,DOLLY GIRL LUNCH BOX,0.02898394569550695,0.5977777777777779,13.054060130718955
DOLLY GIRL LUNCH BOX,SPACEBOY LUNCH BOX,0.02898394569550695,0.6329411764705882,13.054060130718954
JUMBO BAG PEARS,JUMBO BAG APPLES,0.021872643034155804,0.6823529411764707,12.950751834476124
JUMBO BAG APPLES,JUMBO BAG PEARS,0.021872643034155804,0.41513292433537835,12.950751834476124
HOT WATER BOTTLE I AM SO POORLY,CHOCOLATE HOT WATER BOTTLE,0.021118413964012497,0.5966514459665144,12.907976853182332
CHOCOLATE HOT WATER BOTTLE,HOT WATER BOTTLE I AM SO POORLY,0.021118413964012497,0.45687645687645684,12.907976853182332
CHARLOTTE BAG PINK POLKADOT,RED RETROSPOT CHARLOTTE BAG,0.028121969615343176,0.7035040431266847,12.653529116780543
RED RETROSPOT CHARLOTTE BAG,CHARLOTTE BAG PINK POLKADOT,0.028121969615343176,0.5058139534883721,12.653529116780543
STRAWBERRY CHARLOTTE BAG,WOODLAND CHARLOTTE BAG,0.021872643034155804,0.5623268698060943,12.53050583114132
WOODLAND CHARLOTTE BAG,STRAWBERRY CHARLOTTE BAG,0.021872643034155804,0.48739495798319327,12.530505831141319
STRAWBERRY CHARLOTTE BAG,RED RETROSPOT CHARLOTTE BAG,0.02618252343497468,0.6731301939058172,12.107211879147073
RED RETROSPOT CHARLOTTE BAG,STRAWBERRY CHARLOTTE BAG,0.02618252343497468,0.47093023255813954,12.107211879147071
STRAWBERRY CHARLOTTE BAG,CHARLOTTE BAG SUKI DESIGN,0.022357504579247924,0.574792243767313,12.096704794567872
CHARLOTTE BAG SUKI DESIGN,STRAWBERRY CHARLOTTE BAG,0.022357504579247924,0.47052154195011336,12.096704794567872
WOODLAND CHARLOTTE BAG,CHARLOTTE BAG PINK POLKADOT,0.021280034479043208,0.47418967587034816,11.862410732487065
CHARLOTTE BAG PINK POLKADOT,WOODLAND CHARLOTTE BAG,0.021280034479043208,0.532345013477089,11.862410732487064
CHARLOTTE BAG PINK POLKADOT,CHARLOTTE BAG SUKI DESIGN,0.022088137054196745,0.5525606469002695,11.62883302467438
CHARLOTTE BAG SUKI DESIGN,CHARLOTTE BAG PINK POLKADOT,0.022088137054196745,0.46485260770975056,11.62883302467438
ALARM CLOCK BAKELIKE IVORY,ALARM CLOCK BAKELIKE RED,0.020094817368818015,0.6543859649122806,11.557290466890345
ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE IVORY,0.020094817368818015,0.35490009514747856,11.557290466890345
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED,0.03447904320655102,0.653061224489796,11.533893862016738
ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE GREEN,0.03447904320655102,0.6089438629876308,11.533893862016738
WOODLAND CHARLOTTE BAG,CHARLOTTE BAG SUKI DESIGN,0.024566318284667602,0.5474189675870348,11.520624576361156
CHARLOTTE BAG SUKI DESIGN,WOODLAND CHARLOTTE BAG,0.024566318284667602,0.5170068027210885,11.520624576361156
WOODLAND CHARLOTTE BAG,RED RETROSPOT CHARLOTTE BAG,0.027206120030169163,0.6062424969987995,10.904140726057864
RED RETROSPOT CHARLOTTE BAG,WOODLAND CHARLOTTE BAG,0.027206120030169163,0.4893410852713178,10.904140726057864
PAPER CHAIN KIT VINTAGE CHRISTMAS,PAPER CHAIN KIT 50'S CHRISTMAS,0.029738174765650254,0.6731707317073171,10.771892346509672
PAPER CHAIN KIT 50'S CHRISTMAS,PAPER CHAIN KIT VINTAGE CHRISTMAS,0.029738174765650254,0.47586206896551725,10.771892346509672
ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE RED,0.025320547354810905,0.6002554278416348,10.60127616707557
ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE PINK,0.025320547354810905,0.44719314938154137,10.601276167075568
CHARLOTTE BAG SUKI DESIGN,RED RETROSPOT CHARLOTTE BAG,0.027313867040189635,0.5748299319727891,10.339140695037704
RED RETROSPOT CHARLOTTE BAG,CHARLOTTE BAG SUKI DESIGN,0.027313867040189635,0.49127906976744184,10.339140695037704
ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE GREEN,0.022519125094278634,0.5338441890166028,10.111444731149165
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE PINK,0.022519125094278634,0.426530612244898,10.111444731149165
WOODEN FRAME ANTIQUE WHITE,WOODEN PICTURE FRAME WHITE FINISH,0.029037819200517186,0.5550978372811535,9.367023686920701
WOODEN PICTURE FRAME WHITE FINISH,WOODEN FRAME ANTIQUE WHITE,0.029037819200517186,0.49,9.3670236869207
LUNCH BAG DOLLY GIRL DESIGN,LUNCH BAG SPACEBOY DESIGN,0.020902919943971556,0.5689149560117303,9.127225076482054
