customer_id,recency_days,frequency,monetary,total_items,unique_products,avg_line_revenue,active_months,revenue_per_order,items_per_order,orders_per_active_month,purchased_future,churned,churn_risk_score,risk_tier,recommended_action
12346,235,1,77183.6,74215,1,77183.6,1,77183.6,74215.0,1.0,0,1,0.7997305512312822,High Risk,Priority reactivation campaign
12347,39,5,2790.86,1590,82,22.50693548387097,5,558.172,318.0,1.0,1,0,0.13043074780250322,Low Risk,Maintain standard engagement
12348,158,3,1487.24,2124,22,53.11571428571428,3,495.74666666666667,708.0,1.0,1,0,0.4287116760585254,Medium Risk,Loyalty incentive
12350,219,1,334.4,197,17,19.670588235294115,1,334.4,197.0,1.0,0,1,0.715506426040595,High Risk,Low-cost win-back email
12352,171,5,1561.81,254,26,41.10026315789474,2,312.36199999999997,50.8,2.5,1,0,0.46443444878570395,Medium Risk,Loyalty incentive
12353,113,1,89.0,20,4,22.25,1,89.0,20.0,1.0,0,1,0.704525330000461,High Risk,Low-cost win-back email
12354,141,1,1079.4,530,58,18.610344827586207,1,1079.4,530.0,1.0,0,1,0.615504552156246,Medium Risk,Standard retention email
12355,123,1,459.4,240,13,35.33846153846154,1,459.4,240.0,1.0,0,1,0.6748486603166274,High Risk,Low-cost win-back email
12356,155,2,2753.08,1586,53,48.29964912280702,2,1376.54,793.0,1.0,1,0,0.40142441231359427,Medium Risk,Standard retention email
12358,60,1,484.86,100,12,40.405,1,484.86,100.0,1.0,1,0,0.6733548095401575,High Risk,Low-cost win-back email
12359,99,3,3495.73,965,135,24.445664335664336,3,1165.2433333333333,321.6666666666667,1.0,1,0,0.2787062285552987,Low Risk,Maintain standard engagement
12360,22,2,1618.28,674,63,21.577066666666667,2,809.14,337.0,1.0,1,0,0.36150093288253443,Medium Risk,Standard retention email
12361,196,1,189.9,91,10,18.990000000000002,1,189.9,91.0,1.0,0,1,0.7551224106183702,High Risk,Low-cost win-back email
12362,29,4,1747.35,988,89,16.64142857142857,4,436.8375,247.0,1.0,1,0,0.274069543215508,Low Risk,Maintain standard engagement
12363,19,2,552.0,408,23,24.0,2,276.0,204.0,1.0,0,1,0.5185169497935896,Medium Risk,Standard retention email
12364,21,1,623.92,555,34,18.350588235294115,1,623.92,555.0,1.0,1,0,0.592728527145621,Medium Risk,Standard retention email
12365,200,2,641.38,174,22,29.153636363636362,1,320.69,87.0,2.0,0,1,0.7133131056577505,High Risk,Priority reactivation campaign
12370,183,3,2806.41,1973,125,20.189999999999998,2,935.4699999999999,657.6666666666666,1.5,1,0,0.3356255035124168,Medium Risk,Loyalty incentive
12372,122,2,914.9200000000001,592,32,23.45948717948718,2,457.46000000000004,296.0,1.0,1,0,0.4876158164261212,Medium Risk,Standard retention email
12373,220,1,364.6,197,14,26.042857142857144,1,364.6,197.0,1.0,0,1,0.7093934118489786,High Risk,Low-cost win-back email
12375,7,1,230.3,87,11,20.936363636363637,1,230.3,87.0,1.0,1,0,0.6195215903576784,Medium Risk,Standard retention email
12377,224,2,1628.12,944,72,21.144415584415583,2,814.06,472.0,1.0,0,1,0.4115549557663688,Medium Risk,Standard retention email
12378,39,1,4008.62,2529,219,18.30420091324201,1,4008.62,2529.0,1.0,0,1,0.5332423494941687,Medium Risk,Standard retention email
12379,79,1,459.84,211,20,22.991999999999997,1,459.84,211.0,1.0,1,0,0.6047453522575076,Medium Risk,Standard retention email
12380,95,1,607.5500000000001,293,36,16.87638888888889,1,607.5500000000001,293.0,1.0,1,0,0.6160937879767389,Medium Risk,Standard retention email
12381,29,1,1268.74,568,62,20.463548387096775,1,1268.74,568.0,1.0,1,0,0.5246473265207018,Medium Risk,Standard retention email
12383,94,5,1850.56,1532,84,18.69252525252525,5,370.11199999999997,306.4,1.0,0,1,0.1777283210526934,Low Risk,Maintain standard engagement
12384,31,1,292.69,62,14,20.90642857142857,1,292.69,62.0,1.0,1,0,0.6391726936269936,Medium Risk,Standard retention email
12386,247,2,401.9,354,10,40.19,2,200.95,177.0,1.0,0,1,0.6554433836852328,Medium Risk,Standard retention email
12388,57,4,1668.3400000000001,760,50,23.833428571428573,4,417.08500000000004,190.0,1.0,1,0,0.29765887671089675,Low Risk,Maintain standard engagement
12393,155,3,1061.1000000000001,522,33,27.207692307692312,2,353.70000000000005,174.0,1.5,1,0,0.43530704234898526,Medium Risk,Loyalty incentive
12394,126,1,381.08,182,21,18.146666666666665,1,381.08,182.0,1.0,1,0,0.6698388751328372,High Risk,Low-cost win-back email
12395,21,8,1899.57,1629,65,19.787187499999998,6,237.44625,203.625,1.3333333333333333,1,0,0.05255406698053286,Low Risk,Maintain standard engagement
12397,44,1,1214.81,704,70,17.35442857142857,1,1214.81,704.0,1.0,1,0,0.5281429491806767,Medium Risk,Standard retention email
12399,28,4,1108.65,1178,47,18.790677966101697,4,277.1625,294.5,1.0,0,1,0.2681840475404689,Low Risk,Maintain standard engagement
12401,212,1,84.3,11,5,16.86,1,84.3,11.0,1.0,0,1,0.7981465792191199,High Risk,Low-cost win-back email
12402,232,1,225.6,94,11,20.509090909090908,1,225.6,94.0,1.0,0,1,0.7501559887863569,High Risk,Low-cost win-back email
12405,58,1,1710.39,857,54,31.67388888888889,1,1710.39,857.0,1.0,0,1,0.6140271171412066,Medium Risk,Standard retention email
12406,93,1,1621.25,793,48,33.08673469387755,1,1621.25,793.0,1.0,1,0,0.5722646127650993,Medium Risk,Standard retention email
12407,43,4,1407.3600000000001,1237,50,21.990000000000002,3,351.84000000000003,309.25,1.3333333333333333,1,0,0.17921404692796447,Low Risk,Maintain standard engagement
12408,8,4,2134.0499999999997,1044,67,26.024999999999995,3,533.5124999999999,261.0,1.3333333333333333,1,0,0.23780111711495797,Low Risk,Maintain standard engagement
12409,92,1,6207.08,3142,64,96.985625,1,6207.08,3142.0,1.0,1,0,0.4936946914907807,Medium Risk,Standard retention email
