country,total_revenue,total_orders,total_customers,total_items,average_order_value
United Kingdom,9025222.084,18019,3920,4662390,500.8725281092181
Netherlands,285446.34,94,9,200361,3036.663191489362
EIRE,283453.96,288,3,147173,984.215138888889
Germany,228867.14,457,94,119261,500.8033698030635
France,209715.11,392,87,112103,534.987525510204
Australia,138521.31,57,9,83901,2430.1984210526316
Spain,61577.11,90,30,27940,684.1901111111112
Switzerland,57089.9,54,21,30629,1057.2203703703703
Belgium,41196.34,98,25,23237,420.3708163265306
Sweden,38378.33,36,8,36083,1066.0647222222224
Japan,37416.369999999995,19,8,26016,1969.282631578947
Norway,36165.44,36,10,19336,1004.5955555555556
Portugal,33747.1,58,19,16258,581.846551724138
Finland,22546.08,41,12,10704,549.9043902439025
Singapore,21279.29,7,1,5241,3039.8985714285714
Channel Islands,20450.44,26,9,9491,786.5553846153846
Denmark,18955.34,18,9,8235,1053.0744444444445
Italy,17483.24,38,14,8112,460.08526315789476
Hong Kong,15691.800000000001,11,0,4773,1426.527272727273
Cyprus,13590.38,16,8,6361,849.39875
Austria,10198.68,17,11,4881,599.9223529411765
Israel,8135.26,8,3,4409,1016.9075
Poland,7334.65,19,6,3684,386.03421052631575
Greece,4760.52,5,4,1557,952.104
Unspecified,4749.79,13,4,3300,365.36846153846153
Iceland,4310.0,7,1,2458,615.7142857142857
Canada,3666.38,6,4,2763,611.0633333333334
USA,3580.39,5,4,2458,716.078
Malta,2725.59,5,2,970,545.118
United Arab Emirates,1902.28,3,2,982,634.0933333333334
Lebanon,1693.88,1,1,386,1693.88
Lithuania,1661.06,4,1,652,415.265
European Community,1300.25,4,1,499,325.0625
Brazil,1143.6,1,1,356,1143.6
RSA,1002.3100000000001,1,1,351,1002.3100000000001
Czech Republic,826.74,2,1,671,413.37
Bahrain,754.14,3,2,314,251.38
Saudi Arabia,145.92,1,1,80,145.92
