invoice_month,monthly_revenue,total_orders,total_customers,total_items,average_order_value
2010-12,823746.14,1559,885,359239,528.3811032713278
2011-01,691364.56,1086,741,387785,636.6156169429098
2011-02,523631.89,1100,758,283555,476.0289909090909
2011-03,717639.36,1454,974,377526,493.56214580467673
2011-04,537808.621,1246,856,308815,431.62810674157305
2011-05,770536.02,1681,1056,395738,458.3795478881618
2011-06,761739.9,1533,991,389213,496.8949119373777
2011-07,719221.191,1475,949,401759,487.60758711864406
2011-08,759138.38,1361,935,421770,557.7798530492286
2011-09,1058590.172,1837,1266,570820,576.2603004899293
2011-10,1154979.3,2040,1364,623401,566.1663235294118
2011-11,1509496.33,2769,1664,754507,545.1413253882268
2011-12,638792.68,819,615,314248,779.9666422466423
