stock_code,description,total_revenue,total_quantity,total_orders,avg_unit_price
22423,REGENCY CAKESTAND 3 TIER,174484.74,13879,1988,13.97692612791274
85123A,WHITE HANGING HEART T-LIGHT HOLDER,104340.29000000001,37599,2189,3.1152748226950355
47566,PARTY BUNTING,99504.33,18295,1685,5.794273153575616
85099B,JUMBO BAG RED RETROSPOT,94340.05,48474,2089,2.48545928030303
23166,MEDIUM CERAMIC TOP STORAGE JAR,81700.92000000001,78033,247,1.46848
23084,RABBIT NIGHT LIGHT,66964.99,30788,994,2.3805019305019304
22086,PAPER CHAIN KIT 50'S CHRISTMAS,64952.29,19355,1160,3.356833333333334
84879,ASSORTED COLOUR BIRD ORNAMENT,59094.93,36461,1455,1.7222901276024176
79321,CHILLI LIGHTS,54117.76,10306,661,6.789522388059702
23298,SPOTTY BUNTING,42548.130000000005,8327,1140,5.521977547495682
22386,JUMBO BAG PINK POLKADOT,42436.24,21465,1218,2.596114701130856
21137,BLACK RECORD COVER FRAME,40652.13,11656,375,4.211899736147757
23284,DOORMAT KEEP CALM AND COME IN,38166.64,5491,728,8.774136054421769
22720,SET OF 3 CAKE TINS PANTRY DESIGN,38158.39,7493,1385,5.829292351679771
22960,JAM MAKING SET WITH JARS,37128.88,8706,1132,5.071866783523225
82484,WOOD BLACK BOARD ANT WHITE FINISH,36030.22,6020,685,8.439039301310043
20725,LUNCH BAG RED RETROSPOT,35752.01,19353,1564,2.1277979924717694
22197,POPCORN HOLDER,34298.87,36761,803,1.020012062726176
22178,VICTORIAN GLASS HANGING T-LIGHT,33187.97,24304,1037,1.6431041069723018
22114,HOT WATER BOTTLE TEA AND SYMPATHY,33002.590000000004,5747,643,5.018784615384615
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,32873.340000000004,10604,820,3.3641885441527446
22112,CHOCOLATE HOT WATER BOTTLE,32866.18,6025,858,6.0649772727272735
85099F,JUMBO BAG STRAWBERRY,32570.47,17273,812,2.3792233009708736
22469,HEART OF WICKER SMALL,32107.8,17971,1201,1.9579445350734095
23245,SET OF 3 REGENCY CAKE TINS,31177.95,6357,873,5.877074829931972
21931,JUMBO STORAGE BAG SUKI,30770.12,13654,1184,2.7448370927318297
22727,ALARM CLOCK BAKELIKE RED,30701.12,7815,1051,4.389050279329609
23199,JUMBO BAG APPLES,30475.65,14920,978,2.568937246963563
22470,HEART OF WICKER LARGE,30139.41,9901,925,3.2822033898305087
22355,CHARLOTTE BAG SUKI DESIGN,29277.95,18152,882,1.21293659621802
22699,ROSES REGENCY TEACUP AND SAUCER,29095.27,9877,1065,3.6548568790397047
23355,HOT WATER BOTTLE KEEP CALM,28842.550000000003,5841,782,5.267962732919255
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,28634.95,12602,1175,2.683806722689076
22457,NATURAL SLATE HEART CHALKBOARD,28147.960000000003,9172,1249,3.585977830562154
85099C,JUMBO  BAG BAROQUE BLACK WHITE,28092.2,13922,933,2.60338266384778
20685,DOORMAT RED RETROSPOT,28082.54,4092,696,8.951516452074392
23201,JUMBO BAG ALPHABET,27890.170000000002,13379,906,2.390556768558952
22726,ALARM CLOCK BAKELIKE GREEN,27196.53,6430,980,4.5333000000000006
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,26463.829999999998,9476,449,3.4023991507430997
21915,RED  HARMONICA IN BOX,26331.58,21933,661,1.4247826086956523
22666,RECIPE BOX PANTRY YELLOW DESIGN,26240.600000000002,8276,1111,3.7001865008880994
21175,GIN + TONIC DIET METAL SIGN,25836.57,11727,759,2.7412890625
22629,SPACEBOY LUNCH BOX,25740.469999999998,14260,900,2.190414847161572
22961,JAM MAKING SET PRINTED,25660.98,16412,1162,1.9029683490162534
48138,DOORMAT UNION FLAG,25609.6,3762,616,8.886322580645162
21181,PLEASE ONE PERSON METAL SIGN,25290.58,12305,845,2.4230520231213872
23173,REGENCY TEAPOT ROSES,24918.93,2770,416,11.108705882352941
21621,VINTAGE UNION JACK BUNTING,24542.83,2789,475,9.442135523613963
23203,JUMBO BAG VINTAGE DOILY,24522.36,11464,711,2.2987707182320443
22111,SCOTTIE DOG HOT WATER BOTTLE,24509.84,4666,771,5.79448798988622
22722,SET OF 6 SPICE TINS PANTRY DESIGN,24483.66,5978,834,4.667202797202798
22326,ROUND SNACK BOXES SET OF4 WOODLAND,24438.620000000003,8560,732,3.4597319034852547
48187,DOORMAT NEW ENGLAND,24292.84,3830,600,8.462392739273927
22138,BAKING SET 9 PIECE RETROSPOT,24239.72,4948,934,5.3493136219640975
21731,RED TOADSTOOL LED NIGHT LIGHT,23932.98,14009,849,2.3844199535962876
48185,DOORMAT FAIRY CAKE,23888.81,3617,365,10.109565217391305
23344,JUMBO BAG 50'S CHRISTMAS,23815.75,10306,716,2.413128415300547
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,23514.170000000002,4805,470,5.860274261603376
22189,CREAM HEART CARD HOLDER,23463.47,8291,524,4.447984934086629
21733,RED HANGING HEART T-LIGHT HOLDER,23228.74,7882,741,3.1590526315789473
21929,JUMBO BAG PINK VINTAGE PAISLEY,23181.14,11007,865,2.6776632302405496
82482,WOODEN PICTURE FRAME WHITE FINISH,23113.260000000002,9006,1100,3.1016561656165615
20713,JUMBO BAG OWLS,23030.96,11444,657,2.7718590704647674
